name,short_name,vendor,format,is_instrument,primary_category_v10_6,categories_v10_6,instrument_type_v10_6,confidence_v10,needs_review_v10,primary_category_v11,categories_v11,instrument_type_v11,confidence_v11,needs_review_v11,web_verified_v11,notes_v11,idx,ident,primary_category_v6,categories_v6,primary_category_v10,categories_v10,use_cases_v10,rationale_v10,notes_v10,instrument_type_v1,instrument_tags_v1,instrument_confidence_v1,instrument_reason_v1,primary_category_v10_5,categories_v10_5,primary_category_v10_5_norm,categories_v10_5_norm_list,instrument_type_v2,instrument_tags_v2,instrument_confidence_v2,instrument_reason_v2,instrument_tags_v10_6,instrument_confidence_v10_6,instrument_reason_v10_6,needs_review,mismatch_score,web_verified_bool,__cluster,verified_integrity_v11,integrity_issues_v11,verified_auto_strict_v11,verified_auto_strict_reason_v11,verified_v11,verified_v11_level
VST3: Acon Digital Multiply (Acon Digital),Acon Digital Multiply,Acon Digital,VST3,False,Modulation/Chorus,Modulation; Modulation/Chorus,,high,False,Modulation/Chorus,Modulation;Modulation/Chorus,,high,False,False,,10,C:\Program Files\Common Files\VST3\Acon Digital\Multiply.vst3,Modulation,Modulation,Modulation: Chorus,Modulation;Modulation: Chorus,Widen;Coloring,v6 modulation,Acon Digital Multiply is a chorus.,,,,,Modulation: Chorus,Modulation;Modulation: Chorus,Modulation/Chorus,"['Modulation', 'Modulation/Chorus']",,,,,,,,False,0.0,False,acon digital|acon digital multiply,True,,True,name/format heuristic,True,auto_strict
VST: Acon Digital Multiply (Acon Digital) (8ch),Acon Digital Multiply (Acon Digital) (8ch),Acon Digital,VST,False,Modulation/Chorus,Modulation; Modulation/Chorus,,high,False,Modulation/Chorus,Modulation;Modulation/Chorus,,high,False,False,,11,C:\Program Files\Common Files\VST3\Acon Digital\Multiply.dll,Modulation,Modulation,Modulation: Chorus,Modulation;Modulation: Chorus,Widen;Coloring,v6 modulation,Acon Digital Multiply is a chorus.,,,,,Modulation: Chorus,Modulation;Modulation: Chorus,Modulation/Chorus,"['Modulation', 'Modulation/Chorus']",,,,,,,,False,0.0,False,acon digital|acon digital multiply (acon digital) (8ch),True,,True,name/format heuristic,True,auto_strict
VST3i: adc Clap (Audec),adc Clap,Audec,VST3I,True,Instrument/Drums/DrumSynth,Drums; Instrument; Instrument/Drums/DrumSynth; InstrumentTag/drums; InstrumentTag/synth; Synth,Instrument/Drums/DrumSynth,high,False,Instrument/Drums/DrumSynth,Drums;Instrument;Instrument/Drums/DrumSynth;InstrumentTag/drums;InstrumentTag/synth;Synth,Instrument/Drums/DrumSynth,high,False,False,,12,C:\Program Files\Common Files\VST3\adc Clap.vst3,Instruments,Instruments,Instrument,Instrument,Instrument,v6 instrument,,Instrument/Drums/DrumMachineOrSynth,Instrument;Drums;Synth,medium,Keywords indicate drum machine/drum synth.,Instrument/Drums/DrumMachineOrSynth,Drums;Instrument;Synth,Instrument/Drums/DrumMachineOrSynth,"['Drums', 'Instrument', 'Synth']",Instrument/Drums/DrumSynth,drums;synth,medium,Name indicates a drum synth.,drums;synth,medium,Refined instrument type from v10.5 using name/vendor rules: Instrument/Drums/DrumMachineOrSynth → Instrument/Drums/DrumSynth.,False,0.0,False,audec|adc clap,True,,True,name/format heuristic,True,auto_strict
VST3: adc Crush 2 (Audec),adc Crush 2,Audec,VST3,False,LoFi/Bitcrush_Degrade,LoFi; LoFi/Bitcrush_Degrade,,high,False,LoFi/Bitcrush_Degrade,LoFi;LoFi/Bitcrush_Degrade,,high,False,False,,13,C:\Program Files\Common Files\VST3\adc Crush 2.vst3,LoFi/Degrade,LoFi/Degrade,LoFi: Bitcrush/Degrade,LoFi,IDM texture,v6 lofi,No strong keyword match; needs review.; Audec Crush is a bitcrush/degrade effect.,,,,,LoFi: Bitcrush/Degrade,LoFi,LoFi/Bitcrush_Degrade,['LoFi'],,,,,,,,False,0.0,False,audec|adc crush 2,True,,True,name/format heuristic,True,auto_strict
VST3: adc Extra Pan (Audec),adc Extra Pan,Audec,VST3,False,Spatial/Stereo Tool,Spatial/Stereo Tool; Stereo; Utility,,high,False,Spatial/Stereo_Tools,Spatial/Stereo_Tools;Spatial/Stereo Tool;Stereo;Utility,,high,False,False,,14,C:\Program Files\Common Files\VST3\adc Extra Pan.vst3,Spatial/Imaging,Spatial/Imaging,Spatial: Stereo Tool,Spatial: Stereo Tool;Stereo;Utility,Width,v6 spatial,Name indicates stereo imaging.,,,,,Spatial: Stereo Tool,Spatial: Stereo Tool;Stereo;Utility,Spatial/Stereo Tool,"['Spatial/Stereo Tool', 'Stereo', 'Utility']",,,,,,,,False,0.0,False,audec|adc extra pan,True,,True,name/format heuristic,True,auto_strict
VST3: adc Haas 2 (Audec),adc Haas 2,Audec,VST3,False,Spatial/Haas Delay,Delay; Spatial/Haas Delay; Spatial/Stereo Tool,,high,False,Spatial/Haas Delay,Delay;Spatial/Haas Delay;Spatial/Stereo Tool,,high,False,False,,15,C:\Program Files\Common Files\VST3\adc Haas 2.vst3,Spatial/Imaging,Spatial/Imaging,Spatial: Haas Delay,Spatial: Stereo Tool;Delay,Stereo widening,v6 spatial,No strong keyword match; needs review.; Audec Haas is a Haas/width delay tool.,,,,,Spatial: Haas Delay,Spatial: Stereo Tool;Delay,Spatial/Haas Delay,"['Spatial/Stereo Tool', 'Delay']",,,,,,,,False,0.0,False,audec|adc haas 2,True,,True,name/format heuristic,True,auto_strict
VST3: adc Mono (Audec),adc Mono,Audec,VST3,False,Spatial/Bass Mono,Spatial/Bass Mono; Stereo; Utility,,high,False,Spatial/Bass Mono,Spatial/Bass Mono;Stereo;Utility,,high,False,False,,16,C:\Program Files\Common Files\VST3\adc Mono.vst3,Spatial/Imaging,Spatial/Imaging,Spatial: Bass Mono,Spatial: Bass Mono;Stereo;Utility,Width,v6 spatial,Name indicates low-end mono management.,,,,,Spatial: Bass Mono,Spatial: Bass Mono;Stereo;Utility,Spatial/Bass Mono,"['Spatial/Bass Mono', 'Stereo', 'Utility']",,,,,,,,False,0.0,False,audec|adc mono,True,,True,name/format heuristic,True,auto_strict
VST3: adc Ring 2 (Audec),adc Ring 2,Audec,VST3,False,Modulation/Ring Mod,Modulation; Modulation/Ring Mod,,high,False,Modulation/Ring Mod,Modulation;Modulation/Ring Mod,,high,False,False,,17,C:\Program Files\Common Files\VST3\adc Ring 2.vst3,Modulation,Modulation,Modulation: Ring Mod,Modulation,IDM metallic,v6 modulation,No strong keyword match; needs review.; Audec Ring is a ring modulator.,,,,,Modulation: Ring Mod,Modulation,Modulation/Ring Mod,['Modulation'],,,,,,,,False,0.0,False,audec|adc ring 2,True,,True,name/format heuristic,True,auto_strict
VST3: adc Shape Lite 2 (Audec),adc Shape Lite 2,Audec,VST3,False,Distortion/Waveshaper,Distortion/Waveshaper; FX/Distortion; Saturation/General,,high,False,Distortion/Waveshaper,Distortion/Waveshaper;FX/Distortion;Saturation/General,,high,False,False,,18,C:\Program Files\Common Files\VST3\adc Shape Lite 2.vst3,EQ/Filter,EQ/Filter; Saturation/Distortion,Distortion/Waveshaper,Distortion/Waveshaper;FX/Distortion;Saturation/General,SoundDesign;FXBus,verified: waveshaper/distortion,,,,,,Distortion/Waveshaper,Distortion/Waveshaper;FX/Distortion;Saturation/General,Distortion/Waveshaper,"['Distortion/Waveshaper', 'FX/Distortion', 'Saturation/General']",,,,,,,,False,0.0,False,audec|adc shape lite 2,True,,True,name/format heuristic,True,auto_strict
VST3: adc Spread Delay (Audec),adc Spread Delay,Audec,VST3,False,Delay/Echo,Delay; Delay/Echo,,high,False,Delay/Echo,Delay;Delay/Echo,,high,False,False,,19,C:\Program Files\Common Files\VST3\adc Spread Delay.vst3,Delay,Delay,Delay,Delay,FX,v6 delay,Name indicates delay/echo.,,,,,Delay,Delay,Delay,['Delay'],,,,,,,,False,0.0,False,audec|adc spread delay,True,,True,delay_kw,True,auto_strict
VST3: adc Spread Delay Lite (Audec),adc Spread Delay Lite,Audec,VST3,False,Delay/Echo,Delay; Delay/Echo,,high,False,Delay/Echo,Delay;Delay/Echo,,high,False,False,,20,C:\Program Files\Common Files\VST3\adc Spread Delay Lite.vst3,Delay,Delay,Delay,Delay,FX,v6 delay,Name indicates delay/echo.,,,,,Delay,Delay,Delay,['Delay'],,,,,,,,False,0.0,False,audec|adc spread delay lite,True,,True,delay_kw,True,auto_strict
VST3: adc Transient (Audec),adc Transient,Audec,VST3,False,Dynamics/TransientShaper,Dynamics/TransientShaper,,high,False,Dynamics/TransientShaper,Dynamics/TransientShaper,,high,False,False,,21,C:\Program Files\Common Files\VST3\adc Transient.vst3,Transient/Shaper,Dynamics; Transient/Shaper,Dynamics/TransientShaper,Dynamics/TransientShaper,,transient keyword,,,,,,Dynamics/TransientShaper,Dynamics/TransientShaper,Dynamics/TransientShaper,['Dynamics/TransientShaper'],,,,,,,,False,0.0,False,audec|adc transient,True,,True,name/format heuristic,True,auto_strict
VST3: adc Transient Lite (Audec),adc Transient Lite,Audec,VST3,False,Dynamics/TransientShaper,Dynamics/TransientShaper,,high,False,Dynamics/TransientShaper,Dynamics/TransientShaper,,high,False,False,,22,C:\Program Files\Common Files\VST3\adc Transient Lite.vst3,Transient/Shaper,Dynamics; Transient/Shaper,Dynamics/TransientShaper,Dynamics/TransientShaper,,transient keyword,,,,,,Dynamics/TransientShaper,Dynamics/TransientShaper,Dynamics/TransientShaper,['Dynamics/TransientShaper'],,,,,,,,False,0.0,False,audec|adc transient lite,True,,True,name/format heuristic,True,auto_strict
VST3: adc Vectorscope 2 (Audec),adc Vectorscope 2,Audec,VST3,False,Analysis/Metering,Analysis/Metering,,high,False,Analysis/Metering,Analysis/Metering,,high,False,False,,23,C:\Program Files\Common Files\VST3\adc Vectorscope 2.vst3,Metering/Analysis,Metering/Analysis,Analysis/Metering,Analysis/Metering,Utility/Analysis,v6 metering,,,,,,Analysis/Metering,Analysis/Metering,Analysis/Metering,['Analysis/Metering'],,,,,,,,False,0.0,False,audec|adc vectorscope 2,True,,True,analysis_kw,True,auto_strict
VST: ADClip7 (airwindows),ADClip7,airwindows,VST,False,Dynamics/Clipper,Dynamics/Clipper; Mastering/Clipper,,high,False,Dynamics/Clipper,Dynamics/Clipper;Mastering/Clipper,,high,False,False,,24,C:\Program Files\Common Files\VST2\Airwindows\ADClip764.dll,Limiter/Clipper,Dynamics; Limiter/Clipper,Dynamics/Clipper,Dynamics/Clipper;Mastering/Clipper,Bus/Master,clipper keyword,,,,,,Dynamics/Clipper,Dynamics/Clipper;Mastering/Clipper,Dynamics/Clipper,"['Dynamics/Clipper', 'Mastering/Clipper']",,,,,,,,False,0.0,False,airwindows|adclip7,True,,True,clip_kw,True,auto_strict
VST: ADClip8 (airwindows),ADClip8,airwindows,VST,False,Dynamics/Clipper,Dynamics/Clipper; Mastering/Clipper,,high,False,Dynamics/Clipper,Dynamics/Clipper;Mastering/Clipper,,high,False,False,,25,C:\Program Files\Common Files\VST2\Airwindows\ADClip864.dll,Limiter/Clipper,Dynamics; Limiter/Clipper,Dynamics/Clipper,Dynamics/Clipper;Mastering/Clipper,Bus/Master,clipper keyword,,,,,,Dynamics/Clipper,Dynamics/Clipper;Mastering/Clipper,Dynamics/Clipper,"['Dynamics/Clipper', 'Mastering/Clipper']",,,,,,,,False,0.0,False,airwindows|adclip8,True,,True,clip_kw,True,auto_strict
VST3i: ADSR Sample Manager (ADSR),ADSR Sample Manager,ADSR,VST3I,True,Instrument/Sampler/General,Amp; Guitar/Amp_Cab; Instrument; Instrument/Sampler/General; InstrumentTag/sampler; Sampler,Instrument/Sampler/General,high,False,Instrument/Sampler/LibraryPlayer,Amp;Guitar/Amp_Cab;Instrument;Instrument/Sampler/General;InstrumentTag/sampler;Sampler,Instrument/Sampler/General,high,False,True,,26,C:\Program Files\Common Files\VST3\ADSR Sample Manager.vst3,Instruments,Instruments,Guitar: Amp/Cab,Amp;Guitar: Amp/Cab,Guitar,override v6->Amp/Cab/Guitar by name keyword | v6 amp,Name indicates amp/cab processing.,Instrument/Sampler,Instrument;Sampler,high,Keywords indicate sampler/sfz/RS5k/sample player.,Instrument/Sampler,Amp;Guitar: Amp/Cab;Instrument;Sampler,Instrument/Sampler,"['Amp', 'Guitar/Amp_Cab', 'Instrument', 'Sampler']",Instrument/Sampler/General,sampler,medium,Name indicates a sampler or sample player.,sampler,medium,Refined instrument type from v10.5 using name/vendor rules: Instrument/Sampler → Instrument/Sampler/General.,False,0.8,False,adsr|adsr sample manager,True,,False,,True,web
VST: ADT (airwindows),ADT,airwindows,VST,False,Modulation/Chorus,Modulation/Chorus; Spatial/StereoImaging,,high,False,Modulation/Flanger,Modulation/Flanger;Modulation/Chorus;Spatial/StereoImaging,,high,False,True,[patch:IFLS_v11_6_DAY19_BLOCK21_PATCH_20260130_205019.zip]https://www.airwindows.com/adt-vst/ | ADT described as artificial double-tracking / fixed flanging,27,C:\Program Files\Common Files\VST2\Airwindows\ADT64.dll,Saturation/Distortion,Saturation/Distortion,Modulation/Chorus,Modulation/Chorus;Spatial/StereoImaging,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Modulation/Chorus,Modulation/Chorus;Spatial/StereoImaging,Modulation/Chorus,"['Modulation/Chorus', 'Spatial/StereoImaging']",,,,,,,,False,0.0,False,airwindows|adt,True,,False,web,True,web
VST: Air (airwindows),Air,airwindows,VST,False,EQ/Shelving,EQ/Parametric; EQ/Shelving,,high,False,EQ/Shelving,EQ/Parametric;EQ/Shelving,,high,False,False,,28,C:\Program Files\Common Files\VST2\Airwindows\Air64.dll,Saturation/Distortion,Saturation/Distortion,EQ/Shelving,EQ/Parametric;EQ/Shelving,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,EQ/Shelving,EQ/Parametric;EQ/Shelving,EQ/Shelving,"['EQ/Parametric', 'EQ/Shelving']",,,,,,,,False,0.0,False,airwindows|air,True,,True,name/format heuristic,True,auto_strict
VST3: Air Shelf (Bertom),Air Shelf,Bertom,VST3,False,EQ/Parametric,EQ/Parametric; FX/EQ,,high,False,EQ/Dynamic,EQ/Dynamic;EQ/Parametric;FX/EQ,,high,False,True,[patch:IFLS_v11_6_DAY19_BLOCK21_PATCH_20260130_205019.zip]https://bertomaudio.com/air-shelf.html | Dynamic high-shelf / transient tame above ~10k,29,C:\Program Files\Common Files\VST3\Bertom_AirShelf.vst3,EQ/Filter,EQ/Filter,EQ/Parametric,EQ/Parametric;FX/EQ,Bus/Groups;Bus/Tracks,eq keyword,,,,,,EQ/Parametric,EQ/Parametric;FX/EQ,EQ/Parametric,"['EQ/Parametric', 'FX/EQ']",,,,,,,,False,0.0,False,bertom|air shelf,True,,False,web,True,web
VST: Air2 (airwindows),Air2,airwindows,VST,False,EQ/Shelving,EQ/Parametric; EQ/Shelving,,high,False,EQ/Shelving,EQ/Parametric;EQ/Shelving,,high,False,False,,30,C:\Program Files\Common Files\VST2\Airwindows\Air264.dll,Saturation/Distortion,Saturation/Distortion,EQ/Shelving,EQ/Parametric;EQ/Shelving,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,EQ/Shelving,EQ/Parametric;EQ/Shelving,EQ/Shelving,"['EQ/Parametric', 'EQ/Shelving']",,,,,,,,False,0.0,False,airwindows|air2,True,,True,name/format heuristic,True,auto_strict
VST: Air3 (airwindows),Air3,airwindows,VST,False,EQ/Shelving,EQ/Parametric; EQ/Shelving,,high,False,EQ/Shelving,EQ/Parametric;EQ/Shelving,,high,False,False,,31,C:\Program Files\Common Files\VST2\Airwindows\Air364.dll,Saturation/Distortion,Saturation/Distortion,EQ/Shelving,EQ/Parametric;EQ/Shelving,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,EQ/Shelving,EQ/Parametric;EQ/Shelving,EQ/Shelving,"['EQ/Parametric', 'EQ/Shelving']",,,,,,,,False,0.0,False,airwindows|air3,True,,True,name/format heuristic,True,auto_strict
VST: Air4 (airwindows),Air4,airwindows,VST,False,EQ/Shelving,EQ/Parametric; EQ/Shelving,,high,False,EQ/Shelving,EQ/Parametric;EQ/Shelving,,high,False,False,,32,C:\Program Files\Common Files\VST2\Airwindows\Air464.dll,Saturation/Distortion,Saturation/Distortion,EQ/Shelving,EQ/Parametric;EQ/Shelving,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,EQ/Shelving,EQ/Parametric;EQ/Shelving,EQ/Shelving,"['EQ/Parametric', 'EQ/Shelving']",,,,,,,,False,0.0,False,airwindows|air4,True,,True,name/format heuristic,True,auto_strict
VST3: AirMusic (Sound Particles),AirMusic,Sound Particles,VST3,False,Spatial/3D_Immersive,Ambisonics/Immersive; Spatial; Spatial/3D_Immersive,,high,False,Spatial/3D_Immersive,Ambisonics/Immersive;Spatial;Spatial/3D_Immersive,,high,False,False,,33,C:\Program Files\Common Files\VST3\AirMusic.vst3,Spatial/Imaging,Delay; Modulation; MultiFX/ChannelStrip; Reverb; Spatial/Imaging,Spatial: 3D/Immersive,Spatial;Ambisonics/Immersive,Immersive FX,v6 spatial,No strong keyword match; needs review.; Sound Particles AirMusic is immersive/spatial tool.,,,,,Spatial: 3D/Immersive,Spatial;Ambisonics/Immersive,Spatial/3D_Immersive,"['Spatial', 'Ambisonics/Immersive']",,,,,,,,False,0.0,False,sound particles|airmusic,True,,True,name/format heuristic,True,auto_strict
VST3: Airwindows Consolidated (Airwindows),Airwindows Consolidated,Airwindows,VST3,False,Wrapper/Container,Airwindows; Airwindows/Experimental_Utility; Utility; Wrapper/Container,,high,False,Wrapper/Container,Airwindows;Airwindows/Experimental_Utility;Utility;Wrapper/Container,,high,False,False,,34,C:\Program Files\Common Files\VST3\Airwindows (with BaconPaul and members of the Surge Synth Team)\Airwindows Consolidated.vst3\Contents\x86_64-win\Airwindows Consolidated.vst3,Saturation/Distortion,Saturation/Distortion,Wrapper/Container,Airwindows;Airwindows: Experimental/Utility;Utility;Wrapper/Container,Bundle management;Experimental,Airwindows Consolidated is a host/container for many Airwindows effects; category kept generic.,Airwindows plugin type unclear from name; grouped as experimental/utility.; Airwindows Consolidated is a wrapper/bundle container.,,,,,Wrapper/Container,Airwindows;Airwindows: Experimental/Utility;Utility;Wrapper/Container,Wrapper/Container,"['Airwindows', 'Airwindows/Experimental_Utility', 'Utility', 'Wrapper/Container']",,,,,,,,False,0.0,False,airwindows|airwindows consolidated,True,,True,name/format heuristic,True,auto_strict
VST: Ambience (x86) (Magnus @ Smartelectron:x),Ambience,Magnus @ Smartelectron:x,VST,False,Reverb,Reverb,,high,False,Reverb/Algorithmic,Reverb,,high,False,True,,35,C:\Program Files\Steinberg\VSTPlugins\Ambience.dll,Reverb,Reverb,Reverb,Reverb,Space,v6 reverb,Name indicates reverb.,,,,,Reverb,Reverb,Reverb,['Reverb'],,,,,,,,False,0.0,False,magnus @ smartelectron:x|ambience,True,,False,,True,web
VST3: Analista (Duarte Vinagre),Analista,Duarte Vinagre,VST3,False,Analysis/Metering,Analysis/Metering,,high,False,Analysis/Metering,Analysis/Metering,,high,False,True,,36,C:\Program Files\Common Files\VST3\Diagnostic Studio\Analista\Analista.vst3,Metering/Analysis,Metering/Analysis,Analysis/Metering,Analysis/Metering,Utility/Analysis,v6 metering,,,,,,Analysis/Metering,Analysis/Metering,Analysis/Metering,['Analysis/Metering'],,,,,,,,False,0.0,False,duarte vinagre|analista,True,,False,,True,web
VST: AnarchyRhythms (AnarchySoundSoftware),AnarchyRhythms,AnarchySoundSoftware,VST,False,Spatial/Stereo Tool,Spatial/Stereo Tool; Stereo; Utility,,high,False,Modulation/RhythmicGating,Modulation/RhythmicGating;Spatial/Stereo_Tools;Spatial/Stereo Tool;Stereo;Utility,,high,False,True,[patch:IFLS_v11_6_DAY19_BLOCK21_PATCH_20260130_205019.zip]https://plugins4free.com/plugin/1661/ | Rhythmic matrix: amplitude modulation + filters + patterns,37,C:\Program Files (x86)\VST PlugIns\AnarchyRhythms.dll,Glitch/Granular/Spectral,Gate/TranceGate; Glitch/Granular/Spectral,Spatial: Stereo Tool,Spatial: Stereo Tool;Stereo;Utility,Width,v6 glitch/gran/spectral,Name indicates stereo imaging.,,,,,Spatial: Stereo Tool,Spatial: Stereo Tool;Stereo;Utility,Spatial/Stereo Tool,"['Spatial/Stereo Tool', 'Stereo', 'Utility']",,,,,,,,False,0.0,False,anarchysoundsoftware|anarchyrhythms,True,,False,web,True,web
