idx,name,short_name,vendor,format,format_inferred,format_mismatch,multi_family_group,preferred_family,is_preferred_family,ident,ident_norm,ident_has_contents,ident_is_normalized,primary_category_v11,verified_v11,web_verified_v11,verified_auto_strict_v11
20,VST3: adc Spread Delay Lite (Audec),adc Spread Delay Lite,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Spread Delay Lite.vst3,c:\program files\common files\vst3\adc spread delay lite.vst3,False,True,Delay/Echo,True,False,True
21,VST3: adc Transient (Audec),adc Transient,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Transient.vst3,c:\program files\common files\vst3\adc transient.vst3,False,True,Dynamics/TransientShaper,True,False,True
22,VST3: adc Transient Lite (Audec),adc Transient Lite,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Transient Lite.vst3,c:\program files\common files\vst3\adc transient lite.vst3,False,True,Dynamics/TransientShaper,True,False,True
23,VST3: adc Vectorscope 2 (Audec),adc Vectorscope 2,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Vectorscope 2.vst3,c:\program files\common files\vst3\adc vectorscope 2.vst3,False,True,Analysis/Metering,True,False,True
24,VST: ADClip7 (airwindows),ADClip7,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\ADClip764.dll,c:\program files\common files\vst2\airwindows\adclip764.dll,False,True,Dynamics/Clipper,True,False,True
25,VST: ADClip8 (airwindows),ADClip8,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\ADClip864.dll,c:\program files\common files\vst2\airwindows\adclip864.dll,False,True,Dynamics/Clipper,True,False,True
26,VST3i: ADSR Sample Manager (ADSR),ADSR Sample Manager,ADSR,VST3I,VST3I,False,False,VST3,True,C:\Program Files\Common Files\VST3\ADSR Sample Manager.vst3,c:\program files\common files\vst3\adsr sample manager.vst3,False,True,Instrument/Sampler/LibraryPlayer,True,True,False
27,VST: ADT (airwindows),ADT,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\ADT64.dll,c:\program files\common files\vst2\airwindows\adt64.dll,False,True,Modulation/Flanger,True,True,False
28,VST: Air (airwindows),Air,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Air64.dll,c:\program files\common files\vst2\airwindows\air64.dll,False,True,EQ/Shelving,True,False,True
29,VST3: Air Shelf (Bertom),Air Shelf,Bertom,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\Bertom_AirShelf.vst3,c:\program files\common files\vst3\bertom_airshelf.vst3,False,True,EQ/Dynamic,True,True,False
30,VST: Air2 (airwindows),Air2,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Air264.dll,c:\program files\common files\vst2\airwindows\air264.dll,False,True,EQ/Shelving,True,False,True
31,VST: Air3 (airwindows),Air3,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Air364.dll,c:\program files\common files\vst2\airwindows\air364.dll,False,True,EQ/Shelving,True,False,True
32,VST: Air4 (airwindows),Air4,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Air464.dll,c:\program files\common files\vst2\airwindows\air464.dll,False,True,EQ/Shelving,True,False,True
33,VST3: AirMusic (Sound Particles),AirMusic,Sound Particles,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\AirMusic.vst3,c:\program files\common files\vst3\airmusic.vst3,False,True,Spatial/3D_Immersive,True,False,True
34,VST3: Airwindows Consolidated (Airwindows),Airwindows Consolidated,Airwindows,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\Airwindows (with BaconPaul and members of the Surge Synth Team)\Airwindows Consolidated.vst3\Contents\x86_64-win\Airwindows Consolidated.vst3,c:\program files\common files\vst3\airwindows (with baconpaul and members of the surge synth team)\airwindows consolidated.vst3,True,False,Wrapper/Container,True,False,True
35,VST: Ambience (x86) (Magnus @ Smartelectron:x),Ambience,Magnus @ Smartelectron:x,VST,VST,False,False,VST,True,C:\Program Files\Steinberg\VSTPlugins\Ambience.dll,c:\program files\steinberg\vstplugins\ambience.dll,False,True,Reverb/Algorithmic,True,True,False
36,VST3: Analista (Duarte Vinagre),Analista,Duarte Vinagre,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\Diagnostic Studio\Analista\Analista.vst3,c:\program files\common files\vst3\diagnostic studio\analista\analista.vst3,False,True,Analysis/Metering,True,True,False
37,VST: AnarchyRhythms (AnarchySoundSoftware),AnarchyRhythms,AnarchySoundSoftware,VST,VST,False,False,VST,True,C:\Program Files (x86)\VST PlugIns\AnarchyRhythms.dll,c:\program files (x86)\vst plugins\anarchyrhythms.dll,False,True,Modulation/RhythmicGating,True,True,False
38,VST: AngleEQ (airwindows),AngleEQ,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\AngleEQ64.dll,c:\program files\common files\vst2\airwindows\angleeq64.dll,False,True,EQ/Parametric,True,False,True
39,VST3: AnSpec (Voxengo),AnSpec,Voxengo,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\AnSpec.vst3,c:\program files\common files\vst3\anspec.vst3,False,True,Analysis/Metering,True,False,True
40,VST: Apicolypse (airwindows),Apicolypse,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Apicolypse64.dll,c:\program files\common files\vst2\airwindows\apicolypse64.dll,False,True,Saturation/General,True,False,True
41,VST: AQuickVoiceClip (airwindows),AQuickVoiceClip,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\AQuickVoiceClip64.dll,c:\program files\common files\vst2\airwindows\aquickvoiceclip64.dll,False,True,Dynamics/Clipper,True,False,True
42,VST: AtmosphereBuss (airwindows),AtmosphereBuss,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\AtmosphereBuss64.dll,c:\program files\common files\vst2\airwindows\atmospherebuss64.dll,False,True,Saturation/Console,True,False,True
43,VST: AtmosphereChannel (airwindows),AtmosphereChannel,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\AtmosphereChannel64.dll,c:\program files\common files\vst2\airwindows\atmospherechannel64.dll,False,True,Saturation/Console,True,False,True
44,VST3i: Attracktive (Tracktion),Attracktive,Tracktion,VST3I,VST3I,False,True,VST3,True,C:\Program Files\Common Files\VST3\Attracktive.vst3\Contents\x86_64-win\Attracktive.vst3,c:\program files\common files\vst3\attracktive.vst3,True,False,Instrument/Sampler/LibraryPlayer,True,False,True
45,VSTi: Attracktive (Tracktion),Attracktive,Tracktion,VSTI,VSTI,False,True,VST3,False,C:\Program Files\Common Files\VST2\Attracktive.dll,c:\program files\common files\vst2\attracktive.dll,False,True,Instrument/Sampler/LibraryPlayer,True,False,True
46,VST: Aura (airwindows),Aura,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Aura64.dll,c:\program files\common files\vst2\airwindows\aura64.dll,False,True,Filter/Multimode,True,False,True
47,VST: AutoPan (airwindows),AutoPan,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\AutoPan64.dll,c:\program files\common files\vst2\airwindows\autopan64.dll,False,True,Modulation/AutoPan,True,False,True
48,VST: Average (airwindows),Average,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Average64.dll,c:\program files\common files\vst2\airwindows\average64.dll,False,True,Filter/Lowpass,True,True,False
49,VST: AverMatrix (airwindows),AverMatrix,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\AverMatrix64.dll,c:\program files\common files\vst2\airwindows\avermatrix64.dll,False,True,Filter/Multimode,True,False,True
50,VST: Backmask (Freakshow Industries),Backmask,Freakshow Industries,VST,VST,False,True,VST3,False,C:\Program Files\VSTPlugins\Acon Digital\Backmask.dll,c:\program files\vstplugins\acon digital\backmask.dll,False,True,Experimental/Glitch_Weird,True,False,True
51,VST3: Backmask (Freakshow Industries),Backmask,Freakshow Industries,VST3,VST3,False,True,VST3,True,C:\Program Files\Common Files\VST3\Backmask.vst3,c:\program files\common files\vst3\backmask.vst3,False,True,Experimental/Glitch_Weird,True,False,True
52,VST: Balanced (airwindows),Balanced,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Balanced64.dll,c:\program files\common files\vst2\airwindows\balanced64.dll,False,True,Saturation/General,True,False,True
53,VST: Bark of Dog 3 (Boz Digital Labs),Bark of Dog 3,Boz Digital Labs,VST,VST,False,True,VST3,False,C:\Program Files\Steinberg\VSTPlugins\Boz Digital Labs\Bark of Dog 3.dll,c:\program files\steinberg\vstplugins\boz digital labs\bark of dog 3.dll,False,True,Utility/LowEndEnhancer,True,True,False
54,VST3: Bark of Dog 3 (Boz Digital Labs) (mono),Bark of Dog 3,Boz Digital Labs,VST3,VST3,False,True,VST3,True,C:\Program Files\Common Files\VST3\Boz Digital Labs\Bark of Dog 3.vst3,c:\program files\common files\vst3\boz digital labs\bark of dog 3.vst3,False,True,Utility/LowEndEnhancer,True,True,False
55,VST: BassAmp (airwindows),BassAmp,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BassAmp64.dll,c:\program files\common files\vst2\airwindows\bassamp64.dll,False,True,Amp/Amp,True,False,True
56,VST: BassDrive (airwindows),BassDrive,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BassDrive64.dll,c:\program files\common files\vst2\airwindows\bassdrive64.dll,False,True,Amp/Amp,True,False,True
57,VST: BassKit (airwindows),BassKit,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BassKit64.dll,c:\program files\common files\vst2\airwindows\basskit64.dll,False,True,Saturation/Exciter,True,False,True
58,VST3: Basslane (Tone Projects),Basslane,Tone Projects,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\Basslane.vst3,c:\program files\common files\vst3\basslane.vst3,False,True,Spatial/Bass Mono,True,False,True
59,VST3i: BAT-S12 (Duarte Vinagre) (26 out),BAT-S12,Duarte Vinagre,VST3I,VST3I,False,False,VST3,True,C:\Program Files\Common Files\VST3\beatassist.eu\BAT-S12\BAT-S12.vst3,c:\program files\common files\vst3\beatassist.eu\bat-s12\bat-s12.vst3,False,True,Instrument/Drums/DrumMachineOrSynth,True,False,True
60,VST: Baxandall (airwindows),Baxandall,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Baxandall64.dll,c:\program files\common files\vst2\airwindows\baxandall64.dll,False,True,EQ/Shelving,True,False,True
61,VST: Baxandall2 (airwindows),Baxandall2,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Baxandall264.dll,c:\program files\common files\vst2\airwindows\baxandall264.dll,False,True,EQ/Shelving,True,True,False
62,VST3: BaxterEQ (Variety Of Sound),BaxterEQ,Variety Of Sound,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BaxterEQ (64).vst3,c:\program files\common files\vst3\baxtereq (64).vst3,False,True,EQ/Parametric,True,False,True
63,VST: Beam (airwindows),Beam,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Beam64.dll,c:\program files\common files\vst2\airwindows\beam64.dll,False,True,Mastering/Dither,True,False,True
64,VST3: Beat Slammer (BABY Audio),Beat Slammer,BABY Audio,VST3,VST3,False,True,VST3,True,C:\Program Files\Common Files\VST3\Beat Slammer.vst3\Contents\x86_64-win\Beat Slammer.vst3,c:\program files\common files\vst3\beat slammer.vst3,True,False,Dynamics/Compressor,True,False,True
65,VST: Beat Slammer (x86) (BABY Audio),Beat Slammer,BABY Audio,VST,VST,False,True,VST3,False,C:\Program Files (x86)\Steinberg\VSTPlugins\Beat Slammer.dll,c:\program files (x86)\steinberg\vstplugins\beat slammer.dll,False,True,Dynamics/Compressor,True,False,True
66,VST3: Beeper (Voxengo),Beeper,Voxengo,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\Beeper.vst3,c:\program files\common files\vst3\beeper.vst3,False,True,Utility/Routing,True,False,True
67,VST: BezEQ (airwindows),BezEQ,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BezEQ64.dll,c:\program files\common files\vst2\airwindows\bezeq64.dll,False,True,EQ/Parametric,True,False,True
68,VST: BigAmp (airwindows),BigAmp,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BigAmp64.dll,c:\program files\common files\vst2\airwindows\bigamp64.dll,False,True,Amp/Amp,True,False,True
69,VST: Biquad (airwindows),Biquad,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Biquad64.dll,c:\program files\common files\vst2\airwindows\biquad64.dll,False,True,Filter/Multimode,True,False,True
70,VST: Biquad2 (airwindows),Biquad2,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Biquad264.dll,c:\program files\common files\vst2\airwindows\biquad264.dll,False,True,Filter/Multimode,True,False,True
71,VST: BiquadDouble (airwindows),BiquadDouble,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BiquadDouble64.dll,c:\program files\common files\vst2\airwindows\biquaddouble64.dll,False,True,Filter/Multimode,True,False,True
72,VST: BiquadHiLo (airwindows),BiquadHiLo,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BiquadHiLo64.dll,c:\program files\common files\vst2\airwindows\biquadhilo64.dll,False,True,Filter/Multimode,True,False,True
73,VST: BiquadNonLin (airwindows),BiquadNonLin,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BiquadNonLin64.dll,c:\program files\common files\vst2\airwindows\biquadnonlin64.dll,False,True,Filter/Multimode,True,False,True
74,VST: BiquadOneHalf (airwindows),BiquadOneHalf,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BiquadOneHalf64.dll,c:\program files\common files\vst2\airwindows\biquadonehalf64.dll,False,True,Filter/Multimode,True,False,True
75,VST: BiquadPlus (airwindows),BiquadPlus,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BiquadPlus64.dll,c:\program files\common files\vst2\airwindows\biquadplus64.dll,False,True,Filter/Multimode,True,False,True
76,VST: BiquadStack (airwindows),BiquadStack,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BiquadStack64.dll,c:\program files\common files\vst2\airwindows\biquadstack64.dll,False,True,Filter/Multimode,True,False,True
77,VST: BiquadTriple (airwindows),BiquadTriple,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BiquadTriple64.dll,c:\program files\common files\vst2\airwindows\biquadtriple64.dll,False,True,Filter/Multimode,True,False,True
78,VST: Bite (airwindows),Bite,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Bite64.dll,c:\program files\common files\vst2\airwindows\bite64.dll,False,True,LoFi/Bitcrush_Degrade,True,False,True
79,VST: BitGlitter (airwindows),BitGlitter,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BitGlitter64.dll,c:\program files\common files\vst2\airwindows\bitglitter64.dll,False,True,LoFi/Bitcrush_Degrade,True,False,True
80,VST: BitShiftGain (airwindows),BitShiftGain,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BitShiftGain64.dll,c:\program files\common files\vst2\airwindows\bitshiftgain64.dll,False,True,Utility/Gain,True,False,True
81,VST: BitShiftPan (airwindows),BitShiftPan,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BitShiftPan64.dll,c:\program files\common files\vst2\airwindows\bitshiftpan64.dll,False,True,LoFi/Bitcrush_Degrade,True,False,True
82,VST3: BLENDEQ (AnalogObsession),BLENDEQ,AnalogObsession,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BLENDEQ.vst3\Contents\x86_64-win\BLENDEQ.vst3,c:\program files\common files\vst3\blendeq.vst3,True,False,EQ/Parametric,True,False,True
83,VST3: Blindfold EQ (AudioThing),Blindfold EQ,AudioThing,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BlindfoldEQ.vst3,c:\program files\common files\vst3\blindfoldeq.vst3,False,True,EQ/Parametric,True,False,True
84,VST: BlockParty (airwindows),BlockParty,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\BlockParty64.dll,c:\program files\common files\vst2\airwindows\blockparty64.dll,False,True,Dynamics/Compressor,True,False,True
85,VST3: Blue Cat's Chorus 4 (Mono) (Blue Cat Audio),Blue Cat's Chorus 4,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Chorus 4 VST3(Mono).vst3,c:\program files\common files\vst3\bc chorus 4 vst3(mono).vst3,False,True,Modulation/Chorus,True,False,True
86,VST3: Blue Cat's Chorus 4 (Stereo) (Blue Cat Audio),Blue Cat's Chorus 4,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Chorus 4 VST3(Stereo).vst3,c:\program files\common files\vst3\bc chorus 4 vst3(stereo).vst3,False,True,Modulation/Chorus,True,False,True
87,VST3: Blue Cat's Flanger 3 (Mono) (Blue Cat Audio),Blue Cat's Flanger 3,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Flanger 3 VST3(Mono).vst3,c:\program files\common files\vst3\bc flanger 3 vst3(mono).vst3,False,True,Modulation/Flanger,True,False,True
88,VST3: Blue Cat's Flanger 3 (Stereo) (Blue Cat Audio),Blue Cat's Flanger 3,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Flanger 3 VST3(Stereo).vst3,c:\program files\common files\vst3\bc flanger 3 vst3(stereo).vst3,False,True,Modulation/Flanger,True,False,True
89,VST3: Blue Cat's Free Amp (Blue Cat Audio),Blue Cat's Free Amp,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Free Amp VST3.vst3,c:\program files\common files\vst3\bc free amp vst3.vst3,False,True,Amp/Amp,True,False,True
90,VST3: Blue Cat's FreqAnalyst 2 (Mono) (Blue Cat Audio),Blue Cat's FreqAnalyst 2,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC FreqAnalyst 2 VST3(Mono).vst3,c:\program files\common files\vst3\bc freqanalyst 2 vst3(mono).vst3,False,True,Analysis/Metering,True,True,False
91,VST3: Blue Cat's FreqAnalyst 2 (Stereo) (Blue Cat Audio),Blue Cat's FreqAnalyst 2,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC FreqAnalyst 2 VST3(Stereo).vst3,c:\program files\common files\vst3\bc freqanalyst 2 vst3(stereo).vst3,False,True,Analysis/Metering,True,True,False
92,VST3: Blue Cat's Gain 3 (Dual) (Blue Cat Audio),Blue Cat's Gain 3 (Dual),Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Gain 3 VST3(Dual).vst3,c:\program files\common files\vst3\bc gain 3 vst3(dual).vst3,False,True,Utility/Routing,True,False,True
93,VST3: Blue Cat's Gain 3 (Mono) (Blue Cat Audio),Blue Cat's Gain 3,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Gain 3 VST3(Mono).vst3,c:\program files\common files\vst3\bc gain 3 vst3(mono).vst3,False,True,Utility/Gain,True,True,False
94,VST3: Blue Cat's Gain 3 (Stereo) (Blue Cat Audio),Blue Cat's Gain 3,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Gain 3 VST3(Stereo).vst3,c:\program files\common files\vst3\bc gain 3 vst3(stereo).vst3,False,True,Utility/Gain,True,True,False
95,VST3: Blue Cat's Phaser 3 (Mono) (Blue Cat Audio),Blue Cat's Phaser 3,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Phaser 3 VST3(Mono).vst3,c:\program files\common files\vst3\bc phaser 3 vst3(mono).vst3,False,True,Modulation/Phaser,True,False,True
96,VST3: Blue Cat's Phaser 3 (Stereo) (Blue Cat Audio),Blue Cat's Phaser 3,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Phaser 3 VST3(Stereo).vst3,c:\program files\common files\vst3\bc phaser 3 vst3(stereo).vst3,False,True,Modulation/Phaser,True,False,True
97,VST3: Blue Cat's Triple EQ 4 (Dual) (Blue Cat Audio),Blue Cat's Triple EQ 4 (Dual),Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Triple EQ 4 VST3(Dual).vst3,c:\program files\common files\vst3\bc triple eq 4 vst3(dual).vst3,False,True,EQ/Parametric,True,False,True
98,VST3: Blue Cat's Triple EQ 4 (Mono) (Blue Cat Audio),Blue Cat's Triple EQ 4,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Triple EQ 4 VST3(Mono).vst3,c:\program files\common files\vst3\bc triple eq 4 vst3(mono).vst3,False,True,EQ/Parametric,True,False,True
99,VST3: Blue Cat's Triple EQ 4 (Stereo) (Blue Cat Audio),Blue Cat's Triple EQ 4,Blue Cat Audio,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BC Triple EQ 4 VST3(Stereo).vst3,c:\program files\common files\vst3\bc triple eq 4 vst3(stereo).vst3,False,True,EQ/Parametric,True,False,True
100,VSTi: bong (x86) (rurik leffanta) (12 out),bong,rurik leffanta,VSTI,VSTI,False,False,VST,True,C:\Program Files (x86)\Steinberg\VSTPlugins\bong.dll,c:\program files (x86)\steinberg\vstplugins\bong.dll,False,True,Instrument/DrumPercussion,True,False,True
101,VST3: BPB Saturator Plus (Bedroom Producers Blog),BPB Saturator Plus,Bedroom Producers Blog,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\BPB Saturator Plus.vst3,c:\program files\common files\vst3\bpb saturator plus.vst3,False,True,Saturation/General,True,True,False
